date,sales
2014-12-12,654
2014-12-13,45
2014-12-14,282
2014-12-15,318
2014-12-16,194
2014-12-17,509
2014-12-18,128
2014-12-19,322
2014-12-20,391
2014-12-21,199
2014-12-22,637
2014-12-23,343
2014-12-24,343
2014-12-25,322
2014-12-26,282
2014-12-27,218
2014-12-28,232
2014-12-29,218
2014-12-30,25
2014-12-31,215
2015-01-01,189
2015-01-02,245
2015-01-03,106
2015-01-04,185
2015-01-05,637
2015-01-06,318
2015-01-07,116
2015-01-08,509
2015-01-09,604
2015-01-10,60
2015-01-11,211
2015-01-12,296
2015-01-13,201
2015-01-14,451
2015-01-15,309
2015-01-16,439
2015-01-17,131
2015-01-18,567
2015-01-19,387
2015-01-20,387
2015-01-21,309
2015-01-22,211
2015-01-23,210
2015-01-24,201
2015-01-25,261
2015-01-26,213
2015-01-27,25
2015-01-28,192
2015-01-29,42
2015-01-30,196
2015-01-31,239
2015-02-01,141
2015-02-02,175
2015-02-03,567
2015-02-04,296
2015-02-05,451
2015-02-06,581
2015-02-07,224
2015-02-08,332
2015-02-09,179
2015-02-10,534
2015-02-11,322
2015-02-12,569
2015-02-13,142
2015-02-14,614
2015-02-15,326
2015-02-16,326
2015-02-17,322
2015-02-18,224
2015-02-19,236
2015-02-20,341
2015-02-21,197
2015-02-22,26
2015-02-23,208
2015-02-24,163
2015-02-25,266
2015-02-26,131
2015-02-27,188
2015-02-28,614
2015-03-01,332
2015-03-02,534
2015-03-03,697
2015-03-04,48
2015-03-05,130
2015-03-06,598
2015-03-07,109
2015-03-08,650
2015-03-09,478
2015-03-10,298
2015-03-11,265
2015-03-12,520
2015-03-13,302
2015-03-14,107
2015-03-15,177
2015-03-16,230
2015-03-17,322
2015-03-18,174
2015-03-19,122
2015-03-20,142
2015-03-21,144
2015-03-22,111
2015-03-23,167
2015-03-24,51
2015-03-25,52
2015-03-26,236
2015-03-27,298
2015-03-28,313
2015-03-29,367
2015-03-30,205
2015-03-31,298
2015-04-01,109
2015-04-02,598
2015-04-03,53
2015-04-04,478
2015-04-05,21
2015-04-06,56
2015-04-07,146
2015-04-08,532
2015-04-09,116
2015-04-10,623
2015-04-11,423
2015-04-12,289
2015-04-13,198
2015-04-14,490
2015-04-15,290
2015-04-16,184
2015-04-17,224
2015-04-18,363
2015-04-19,150
2015-04-20,128
2015-04-21,156
2015-04-22,39
2015-04-23,231
2015-04-24,289
2015-04-25,325
2015-04-26,412
2015-04-27,200
2015-04-28,278
2015-04-29,532
2015-04-30,423
2015-05-01,197
2015-05-02,32
2015-05-03,245
2015-05-04,192
2015-05-05,576
2015-05-06,102
2015-05-07,699
2015-05-08,501
2015-05-09,322
2015-05-10,210
2015-05-11,525
2015-05-12,302
2015-05-13,153
2015-05-14,250
2015-05-15,306
2015-05-16,176
2015-05-17,139
2015-05-18,176
2015-05-19,41
2015-05-20,214
2015-05-21,322
2015-05-22,289
2015-05-23,534
2015-05-24,185
2015-05-25,312
2015-05-26,576
2015-05-27,501
2015-05-28,221
2015-05-29,31
2015-05-30,320
2015-05-31,45
2015-06-01,139
2015-06-02,637
2015-06-03,116
2015-06-04,693
2015-06-05,509
2015-06-06,318
2015-06-07,282
2015-06-08,554
2015-06-09,322
2015-06-10,114
2015-06-11,189
2015-06-12,245
2015-06-13,343
2015-06-14,185
2015-06-15,130
2015-06-16,151
2015-06-17,153
2015-06-18,118
2015-06-19,178
2015-06-20,54
2015-06-21,55
2015-06-22,251
2015-06-23,318
2015-06-24,334
2015-06-25,391
2015-06-26,218
2015-06-27,318
2015-06-28,116
2015-06-29,637
2015-06-30,56
2015-07-01,509
2015-07-02,22
2015-07-03,60
2015-07-04,156
2015-07-05,567
2015-07-06,124
2015-07-07,664
2015-07-08,451
2015-07-09,308
2015-07-10,211
2015-07-11,522
2015-07-12,309
2015-07-13,196
2015-07-14,239
2015-07-15,387
2015-07-16,160
2015-07-17,136
2015-07-18,166
2015-07-19,42
2015-07-20,246
2015-07-21,308
2015-07-22,346
2015-07-23,439
2015-07-24,213
2015-07-25,296
2015-07-26,567
2015-07-27,451
2015-07-28,210
2015-07-29,34
2015-07-30,261
2015-07-31,205
2015-08-01,614
2015-08-02,109
2015-08-03,745
2015-08-04,534
2015-08-05,343
2015-08-06,224
2015-08-07,559
2015-08-08,322
2015-08-09,163
2015-08-10,266
2015-08-11,326
2015-08-12,188
2015-08-13,148
2015-08-14,188
2015-08-15,44
2015-08-16,228
2015-08-17,343
2015-08-18,308
2015-08-19,569
2015-08-20,197
2015-08-21,332
2015-08-22,614
2015-08-23,534
2015-08-24,236
2015-08-25,33
2015-08-26,341
2015-08-27,48
